attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:35:33.503,2026-07-22 17:35:48.505,1784721933.503,1784721948.506,15.002,2961,197.4
UDP,192.168.1.123,medium,2026-07-22 17:35:48.505,2026-07-22 17:36:03.508,1784721948.506,1784721963.509,15.003,2833,188.8
ACK,192.168.1.123,medium,2026-07-22 17:36:03.508,2026-07-22 17:36:18.511,1784721963.509,1784721978.512,15.003,2980,198.6
HTTP,192.168.1.123,medium,2026-07-22 17:36:18.511,2026-07-22 17:36:32.516,1784721978.512,1784721992.516,14.004,2619,187.0
