attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 18:05:38.979,2026-07-22 18:05:53.980,1784723738.98,1784723753.981,15.001,3349,223.3
UDP,192.168.1.123,medium,2026-07-22 18:05:53.980,2026-07-22 18:06:08.985,1784723753.981,1784723768.985,15.004,3025,201.6
ACK,192.168.1.123,medium,2026-07-22 18:06:08.985,2026-07-22 18:06:23.987,1784723768.985,1784723783.988,15.002,3006,200.4
HTTP,192.168.1.123,medium,2026-07-22 18:06:23.987,2026-07-22 18:06:37.988,1784723783.988,1784723797.989,14.001,2880,205.7
