attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,heavy,2026-07-22 17:05:24.526,2026-07-22 17:05:39.527,1784720124.526,1784720139.527,15.001,3301,220.1
UDP,192.168.1.123,heavy,2026-07-22 17:05:39.527,2026-07-22 17:05:54.528,1784720139.527,1784720154.528,15.001,3155,210.3
ACK,192.168.1.123,heavy,2026-07-22 17:05:54.528,2026-07-22 17:06:09.531,1784720154.528,1784720169.531,15.003,3289,219.2
HTTP,192.168.1.123,heavy,2026-07-22 17:06:09.531,2026-07-22 17:06:23.532,1784720169.531,1784720183.533,14.001,2870,205.0
