attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:59:37.926,2026-07-22 17:59:52.930,1784723377.927,1784723392.93,15.004,3334,222.2
UDP,192.168.1.123,medium,2026-07-22 17:59:52.930,2026-07-22 18:00:07.933,1784723392.931,1784723407.933,15.002,3081,205.4
ACK,192.168.1.123,medium,2026-07-22 18:00:07.933,2026-07-22 18:00:22.933,1784723407.933,1784723422.934,15.001,3348,223.2
HTTP,192.168.1.123,medium,2026-07-22 18:00:22.933,2026-07-22 18:00:36.937,1784723422.934,1784723436.937,14.003,2854,203.8
