attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
XMAS,192.168.1.123,medium,2026-07-22 17:08:04.503,2026-07-22 17:08:19.505,1784720284.503,1784720299.506,15.003,3161,210.7
NULL,192.168.1.123,medium,2026-07-22 17:08:19.505,2026-07-22 17:08:34.509,1784720299.506,1784720314.51,15.004,3206,213.7
C2,192.168.1.123,medium,2026-07-22 17:08:34.510,2026-07-22 17:08:50.099,1784720314.51,1784720330.1,15.59,18,1.2
EXFIL,192.168.1.123,medium,2026-07-22 17:08:50.100,2026-07-22 17:09:05.103,1784720330.1,1784720345.104,15.004,1598,106.5
PULSE,192.168.1.123,medium,2026-07-22 17:09:05.103,2026-07-22 17:09:24.347,1784720345.104,1784720364.348,19.244,859,44.6
FRAG,192.168.1.123,medium,2026-07-22 17:09:24.347,2026-07-22 17:09:34.350,1784720364.348,1784720374.351,10.003,2073,207.2
