attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:11:28.555,2026-07-22 17:11:43.557,1784720488.556,1784720503.557,15.002,2929,195.2
UDP,192.168.1.123,medium,2026-07-22 17:11:43.557,2026-07-22 17:11:58.558,1784720503.557,1784720518.558,15.001,2889,192.6
ACK,192.168.1.123,medium,2026-07-22 17:11:58.558,2026-07-22 17:12:13.559,1784720518.558,1784720533.559,15.001,2918,194.5
HTTP,192.168.1.123,medium,2026-07-22 17:12:13.559,2026-07-22 17:12:27.562,1784720533.559,1784720547.563,14.003,2638,188.4
