attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,heavy,2026-07-24 10:32:19.114,2026-07-24 10:32:34.116,1784869339.115,1784869354.116,15.002,3297,219.8
UDP,192.168.1.123,heavy,2026-07-24 10:32:34.117,2026-07-24 10:32:49.122,1784869354.117,1784869369.122,15.005,3298,219.8
ACK,192.168.1.123,heavy,2026-07-24 10:32:49.122,2026-07-24 10:33:04.126,1784869369.122,1784869384.127,15.005,3299,219.9
HTTP,192.168.1.123,heavy,2026-07-24 10:33:04.126,2026-07-24 10:33:19.128,1784869384.127,1784869399.129,15.002,3299,219.9
