attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:41:34.695,2026-07-22 17:41:49.698,1784722294.695,1784722309.699,15.003,2735,182.3
UDP,192.168.1.123,medium,2026-07-22 17:41:49.698,2026-07-22 17:42:04.703,1784722309.699,1784722324.704,15.005,2841,189.3
ACK,192.168.1.123,medium,2026-07-22 17:42:04.703,2026-07-22 17:42:19.705,1784722324.704,1784722339.705,15.002,3007,200.4
HTTP,192.168.1.123,medium,2026-07-22 17:42:19.705,2026-07-22 17:42:33.706,1784722339.706,1784722353.707,14.001,2395,171.1
