attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:23:31.141,2026-07-22 17:23:46.141,1784721211.141,1784721226.142,15.001,2693,179.5
UDP,192.168.1.123,medium,2026-07-22 17:23:46.142,2026-07-22 17:24:01.146,1784721226.142,1784721241.146,15.004,2875,191.6
ACK,192.168.1.123,medium,2026-07-22 17:24:01.146,2026-07-22 17:24:16.147,1784721241.147,1784721256.148,15.001,2999,199.9
HTTP,192.168.1.123,medium,2026-07-22 17:24:16.147,2026-07-22 17:24:30.149,1784721256.148,1784721270.149,14.001,2713,193.8
