attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:29:32.328,2026-07-22 17:29:47.330,1784721572.328,1784721587.33,15.002,3015,201.0
UDP,192.168.1.123,medium,2026-07-22 17:29:47.330,2026-07-22 17:30:02.334,1784721587.33,1784721602.334,15.004,2926,195.0
ACK,192.168.1.123,medium,2026-07-22 17:30:02.334,2026-07-22 17:30:17.335,1784721602.334,1784721617.336,15.001,2757,183.8
HTTP,192.168.1.123,medium,2026-07-22 17:30:17.335,2026-07-22 17:30:31.341,1784721617.336,1784721631.341,14.005,2410,172.1
