attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:53:36.858,2026-07-22 17:53:51.860,1784723016.859,1784723031.86,15.002,3013,200.8
UDP,192.168.1.123,medium,2026-07-22 17:53:51.860,2026-07-22 17:54:06.862,1784723031.861,1784723046.863,15.002,3022,201.4
ACK,192.168.1.123,medium,2026-07-22 17:54:06.863,2026-07-22 17:54:21.867,1784723046.863,1784723061.867,15.004,3310,220.6
HTTP,192.168.1.123,medium,2026-07-22 17:54:21.867,2026-07-22 17:54:35.871,1784723061.867,1784723075.871,14.004,2603,185.9
