attack_type,target,intensity,start_time,end_time,start_epoch,end_epoch,duration_sec,packets_sent,pps
SYN,192.168.1.123,medium,2026-07-22 17:47:35.795,2026-07-22 17:47:50.799,1784722655.796,1784722670.799,15.003,3331,222.0
UDP,192.168.1.123,medium,2026-07-22 17:47:50.799,2026-07-22 17:48:05.804,1784722670.799,1784722685.804,15.005,3100,206.6
ACK,192.168.1.123,medium,2026-07-22 17:48:05.804,2026-07-22 17:48:20.806,1784722685.804,1784722700.806,15.002,3351,223.4
HTTP,192.168.1.123,medium,2026-07-22 17:48:20.806,2026-07-22 17:48:34.810,1784722700.807,1784722714.81,14.004,2906,207.5
